Feedstock Materials,Substrate,Corrosion Rate(um/year),Electrolyte Molten Salt,Temperature(degree C),Time(hr),Manufacturing Process,Powder Particle Size(um),Melting range(degree C),Density(g/cm^3),Porosity(%),Hardness Brinell_HB,TensileStrength (Mpa),ModulusofElasticity(Gpa),Electrical Resistivity(ohm-cm),ThermalConductivity(W/m.K)
nil,4340 Steel,0.55,NaCl,25,0,nil,0,0,7.85,0,217,470,192,0.0000298,44.5
nil,4130 Steel,0.09,NaCl,150,720,nil,0,0,7.85,0,217,470,192,0.0000298,44.5
nil,4130 Steel,0.29,NaCl,200,720,nil,0,0,7.85,0,217,470,192,0.0000298,44.5
nil,1020 Steel,2.1,HCl,500,360,nil,0,0,7.87,0,111,205,186,0.0000292,51.9
nil,1020 Steel,0.3,HCl,400,360,nil,0,0,7.87,0,111,205,186,0.0000292,51.9
nil,1020 Steel,0.7,HCl,300,360,nil,0,0,7.87,0,111,205,186,0.0000292,51.9
nil,low-carbon stainless steel,34,LiCl–KCl–CsCl,400,3,nil,0,0,0,0,0,0,0,0,0
nil,low-carbon stainless steel,24,LiCl–KCl–CsCl,500,3,nil,0,0,0,0,0,0,0,0,0
nil,low-carbon stainless steel,37,LiCl–KCl–CsCl,600,3,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,400,1,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,400,3,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,400,9,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,400,27,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,500,1,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,0,LiCl–KCl–CsCl,500,3,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,56.5,LiCl–KCl–CsCl,500,9,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,42.4,LiCl–KCl–CsCl,500,27,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,11.2,LiCl–KCl–CsCl,600,1,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,30.5,LiCl–KCl–CsCl,600,3,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,65.5,LiCl–KCl–CsCl,600,9,nil,0,0,0,0,0,0,0,0,0
nil,Ti-stabilised high-carbon stainless steel,51,LiCl–KCl–CsCl,600,27,nil,0,0,0,0,0,0,0,0,0
nil,Ni-based superalloy,5,LiCl–KCl–CsCl,800,3,nil,0,0,0,0,0,0,0,0,0
nil,12H18N10T,250,46.5LiF–11.5NaF–42KF,620,3500,nil,0,0,0,0,0,0,0,0,0
nil,HN80MT,22,46.5LiF–11.5NaF–42KF,620,3500,nil,0,0,0,0,0,0,0,0,0
nil,12H18N10T,250,92NaBF4–8NaF,630,1000,nil,0,0,0,0,0,0,0,0,0
nil,AP–164,50,92NaBF4–8NaF,630,1000,nil,0,0,0,0,0,0,0,0,0
nil,HN80MT,12,92NaBF4–8NaF,630,1000,nil,0,0,0,0,0,0,0,0,0
nil,HN80MT,3,71.7LiF–16BeF2–12ThF4–0.3UF4 + Te,750,1000,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTY,6,71.7LiF–16BeF2–12ThF4–0.3UF4 + Te,750,1000,nil,0,0,0,0,0,0,0,0,0
nil,12H18N10T,20,66LiF–34BeF2 + UF4,630,500,nil,0,0,0,0,0,0,0,0,0
nil,12H18N10T,25,66LiF–34BeF2 + UF4,750,750,nil,0,0,0,0,0,0,0,0,0
nil,HN80M-VI,5,15LiF–58NaF–27BeF2 + PuF3,750,1600,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTY,5,15LiF–58NaF–27BeF2 + PuF3,750,1600,nil,0,0,0,0,0,0,0,0,0
nil,MONICR,19,15LiF–58NaF–27BeF2 + PuF3,750,1600,nil,0,0,0,0,0,0,0,0,0
nil,HN80M-VI,0,15LiF–58NaF + 27BeF2 + Cr3Te4,750,400,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTY,0,15LiF–58NaF + 27BeF2 + Cr3Te4,750,400,nil,0,0,0,0,0,0,0,0,0
nil,MONICR,0,15LiF–58NaF + 27BeF2 + Cr3Te4,750,400,nil,0,0,0,0,0,0,0,0,0
nil,HN80M-VI,3,73LiF–5BeF2–20ThF4–2UF4 + Cr3Te4,750,1250,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTY,3,73LiF–5BeF2–20ThF4–2UF4 + Cr3Te4,750,1250,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTW,3,73LiF–5BeF2–20ThF4–2UF4 + Cr3Te4,750,1250,nil,0,0,0,0,0,0,0,0,0
nil,HN80M-VI,0,71LiF–27BeF2–2UF4 + Cr3Te4,780,750,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTY,0,71LiF–27BeF2–2UF4 + Cr3Te4,780,750,nil,0,0,0,0,0,0,0,0,0
nil,HN80MTW,0,71LiF–27BeF2–2UF4 + Cr3Te4,780,750,nil,0,0,0,0,0,0,0,0,0
nil,Stainless Steel,0.005,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.211,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.126,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.665,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.115,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.055,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.016,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.134,LiCl-Li2O-Li,650,500,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.05,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.062,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.179,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.112,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.082,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.13,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.101,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Stainless Steel,0.073,LiCl-Li2O-Li,650,1000,nil,0,1530,9.01,4,600,2500,310,0.000145,34.3
nil,Inconel,25,71LiF-29BeF2,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,127,71LiF-29BeF2,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,165,71LiF-29BeF2,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,64,53LiF-46BeF2-1UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,178,53LiF-46BeF2-1UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,381,53LiF-46BeF2-1UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,25,60LiF-36BeF2-5UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,25,62LiF-37BeF2-1UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,54,62LiF-37BeF2-1UF4,732,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,178,62LiF-37BeF2-1UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,356,62LiF-37BeF2-1UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,25,58LiF-35BeF2-7ThF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,25,71LiF-16BeF2-13ThF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,102,71LiF-16BeF2-13ThF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,191,71LiF-16BeF2-13ThF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,76,62LiF-36.5BeF2-1ThF4-0.5UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,127,62LiF-36.5BeF2-1ThF4-0.5UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,305,62LiF-36.5BeF2-1ThF4-0.5UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,71LiF-29BeF2,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,71LiF-29BeF2,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,9,71LiF-29BeF2,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,70LiF-10BeF2-20UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,8,70LiF-10BeF2-20UF4,732,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,62LiF-37BeF2-1UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,62LiF-37BeF2-1UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,62LiF-37BeF2-1UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,60LiF-36BeF2-4UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,8,60LiF-36BeF2-4UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,53LiF-46BeF2-1UF4,677,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,53LiF-46BeF2-1UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,53LiF-46BeF2-1UF4,732,1000,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,71LiF-16BeF2-13ThF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,71LiF-16BeF2-13ThF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,71LiF-16BeF2-13ThF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,8,58LiF-35BeF2-7ThF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,51,58LiF-35BeF2-7ThF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,25,53LiF-46BeF2-0.5ThF4-0.5UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,8,53LiF-46BeF2-0.5ThF4-0.5UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,12,62LiF-36.5BeF2-1ThF4-0.5UF4,677,8760,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,62LiF-36.5BeF2-1ThF4-0.5UF4,732,8760,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,178,53LiF-46BeF2-1UF4,704,3390,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,203,62LiF-37BeF2-1UF4,704,3046,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,356,60LiF-36BeF2-4UF4,704,8746,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,381,62LiF-37BeF2-1UF4,704,9574,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,330,71LiF-16BeF2-13ThF4,704,13,nil,0,0,0,0,0,0,0,0,0
nil,Inconel,610,62LiF-36.5BeF2-1ThF4-0.5UF4,704,14,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,9,53LiF-46BeF2-1UF4,704,15,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,10,62LiF-37BeF2-1UF4,704,15,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,62LiF-37BeF2-1UF4,704,15,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,70LiF-10BeF2-20UF4,704,14,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,25,71LiF-16BeF2-13ThF4,704,20,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,62LiF-36.5BeF2-1ThF4-0.5UF4,704,14,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,51,62LiF-36.5BeF2-1ThF4-0.5UF4,704,20,nil,0,0,0,0,0,0,0,0,0
nil,Hastelloy,1,62LiF-36.5BeF2-1ThF4-0.5UF4,704,9687,nil,0,0,0,0,0,0,0,0,0
NiCr,Ferritic stainless steel,3,"(NaCl,Na2SO4,KCl)+10% H2O",575,168,HVOF,53,1298.889,8.36,0,88,450,200,0.000063,24.2
NiCr,Ferritic stainless steel,3,"(NaCl,Na2SO4,KCl)+10% H2O",625,168,HVOF,20,1355,8.36,0,88,485,215,0.000063,24.2
NiCr,Nimonic alloy 263,3,"(NaCl,Na2SO4,KCl)+10% H2O",575,168,HVOF,53,1298.889,8.36,0,335,450,0,0.000115,11.7
NiCr,Nimonic alloy 263,3,"(NaCl,Na2SO4,KCl)+10% H2O",625,168,HVOF,20,1355,8.36,0,335,450,0,0.000115,11.7
NiCr,Iron based alloy (SAN25),3,"(NaCl,Na2SO4,KCl)+10% H2O",575,168,HVOF,53,1400,7.3,5,0,670,0,0.0001,5.707
NiCr,Iron based alloy (SAN25),3,"(NaCl,Na2SO4,KCl)+10% H2O",625,168,HVOF,20,1400,7.3,5,0,670,0,0.0001,5.707
IN625,Ferritic stainless steel,3,"(NaCl,Na2SO4,KCl)+ 10% H2O",575,168,HVOF,45,1298.889,8.36,0,88,450,200,0.000063,24.2
IN625,Ferritic stainless steel,3,"(NaCl,Na2SO4,KCl)+ 10% H2O",625,168,HVOF,11,1355,8.36,0,88,485,215,0.000063,24.2
IN625,Nimonic alloy 263,3,"(NaCl,Na2SO4,KCl)+ 10% H2O",575,168,HVOF,45,1298.889,8.36,0,0,450,0,0.000115,11.7
IN625,Nimonic alloy 263,3,"(NaCl,Na2SO4,KCl)+ 10% H2O",625,168,HVOF,11,1355,8.36,0,0,450,0,0.000115,11.7
IN625,Iron based alloy (SAN25),3,"(NaCl,Na2SO4,KCl)+ 10% H2O",575,168,HVOF,45,1288,7.3,0,175,827,0,0,5.707
IN625,Iron based alloy (SAN25),3,"(NaCl,Na2SO4,KCl)+ 10% H2O",625,168,HVOF,11,1349,7.3,0,240,1103,0,0,5.707
Ni,nil,2,FLiNaK,650,60,nil,0,1455,8.88,0,0,317,207,0.0000064,60.7
NiCoCrAlY + YSZ,Nickel based superalloy C263,7,50wt% Na2SO4+50wt%V2O5,799.85,30,APS,0,0,0,10,0,0,0,0,0
NiCoCrAlTaY+ScYSZ,Nickel based superalloy,0,Na2SO4 + V2O5,1000,0,APS,0,1260,8.22,11,0,90,126,0.000129,27.2
NiCoCrAlTaY+ScYSZ,Nickel based superalloy,0,Na2SO4 + V2O5,1000,0,APS,0,1355,8.22,11,0,90,126,0.000129,27.2
YSZ/NiCoCrAlY,C263,6,50%Na2SO4 + 50%V2O5,800,30,APS,0,2700,5.85,0,8,230,200,0,0
YSZ/NiCoCrAlY,C263,6,50%Na2SO4 + 50%V2O5,800,30,APS,0,2700,6.1,0,8,230,210,0,0
LZ-LZC/YSZ/NiCoCrAlY,C263,6,50%Na2SO4 + 50%V2O5,800,30,APS,0,2700,5.85,0,8,230,200,0,0
LZ-LZC/YSZ/NiCoCrAlY,C263,6,50%Na2SO4 + 50%V2O5,800,30,APS,0,2700,6.1,0,8,230,210,0,0
"([La(NO3)3.6H2O], [Ce(NO3)3.6H2O], and [Zr(C2H4O2)4])",C263,6,50%Na2SO4 + 50%V2O5,800,30,APS,0,0,0,0,0,0,0,0,0
SHS9172,Ferritic stainless steel,2,"NaCl,Na2SO4,KCl",575,168,HVOF,53,1298.889,8.36,0,88,450,200,0.000063,24.2
SHS9172,Ferritic stainless steel,2,"NaCl,Na2SO4,KCl",625,168,HVOF,20,1355,8.36,0,88,450,200,0.000063,24.2
SHS9172,Nimonic alloy 263,2,"NaCl,Na2SO4,KCl",575,168,HVOF,53,1298.889,8.36,0,0,450,0,0.000115,11.7
SHS9172,Nimonic alloy 263,2,"NaCl,Na2SO4,KCl",625,168,HVOF,15,1355,8.36,0,0,450,0,0.000115,11.7
SHS9172,Iron based alloy (SAN25),2,"NaCl,Na2SO4,KCl",575,168,HVOF,0,1298.889,7.3,5,0,940,0,0,5.707
SHS9172,Iron based alloy (SAN25),2,"NaCl,Na2SO4,KCl",625,168,HVOF,0,1355,7.3,5,0,940,0,0,5.707
Diamalloy 4006,Ferritic stainless steel,5,"NaCl,Na2SO4,KCl",575,168,HVOF,53,1298.889,8.36,0,88,450,200,0.000063,24.2
Diamalloy 4006,Ferritic stainless steel,5,"NaCl,Na2SO4,KCl",625,168,HVOF,11,1355,8.36,0,88,450,200,0.000063,24.2
Diamalloy 4006,Nimonic alloy 263,5,"NaCl,Na2SO4,KCl",575,168,HVOF,53,1298.889,8.36,0,0,450,0,0.000115,11.7
Diamalloy 4006,Nimonic alloy 263,5,"NaCl,Na2SO4,KCl",625,168,HVOF,11,1355,8.36,0,0,450,0,0.000115,11.7
Diamalloy 4006,Iron based alloy (SAN25),5,"NaCl,Na2SO4,KCl",575,168,HVOF,53,1298.889,7.3,5,0,940,0,0,5.707
Diamalloy 4006,Iron based alloy (SAN25),5,"NaCl,Na2SO4,KCl",625,168,HVOF,11,1355,7.3,5,0,940,0,0,5.707
YSZ,Ni alloy Inconel 713LC,4,LiCl-Li2O,650,168,APS,0,2700,5.85,0,8,230,200,1.00E+12,2.2
YSZ,Ni alloy Inconel 713LC,4,LiCl-Li2O,650,168,APS,0,2700,6.1,0,8,230,210,1.00E+12,2.5
YSZ,Stainless steel-316L,3,LiCl-KCl,599.85,500,PSP,0,1375,8,0,149,205,193,7.40E-05,16.3
YSZ,Stainless steel-316L,3,LiCl-KCl,599.85,500,PSP,0,1400,8,0,149,205,193,7.40E-05,16.3
Al2O3,Ni alloy Inconel 713LC,0.058,LiCl-Li2O,650,168,APS,0,2550,3,7.1,5500,69,215,1.00E+20,12
Al2O3,Ni alloy Inconel 713LC,0.058,LiCl-Li2O,650,168,APS,0,2642,3.98,1.1,22050,665,413,1.00E+26,38.5
Ni20Cr,SA516 steel,42.28,nil,700,1500,CGDS,0,1510,7.8,0,0,260,200,1.70E-05,52
Ni20Cr,SA516 steel,27.59,nil,700,1500,CGDS,0,1510,7.8,0,0,260,200,1.70E-05,52
Ni20Cr,SA516 steel,25.291,nil,700,500,CGDS,0,1510,7.8,0,0,260,200,1.70E-05,52
